OrderID,CustomerID,BundledProductID,OrderDate,SalesAmount,StoreID
1001.0,5001.0,3001.0,15/01/2024,150.0,101.0
1002.0,5002.0,3002.0,16/01/2024,200.0,102.0
1003.0,5003.0,3003.0,17/01/2024,300.0,101.0
1004.0,5001.0,3001.0,15/02/2024,100.0,103.0
1005.0,5002.0,3002.0,16/02/2024,250.0,101.0
1006.0,5004.0,3003.0,15/03/2024,400.0,102.0
1007.0,5005.0,3004.0,16/03/2024,350.0,101.0
1008.0,5003.0,3003.0,15/04/2024,450.0,103.0
1009.0,5001.0,3002.0,16/04/2024,500.0,102.0
1010.0,5002.0,3001.0,15/05/2024,600.0,101.0
1011.0,5001.0,3003.0,17/05/2024,,101.0
1012.0,-1.0,3004.0,18/06/2024,700.0,103.0
1013.0,5006.0,3005.0,19/06/2024,800.0,101.0
1014.0,5007.0,3006.0,20/07/2024,550.0,104.0
1015.0,5001.0,3007.0,21/07/2024,900.0,101.0
1016.0,5003.0,3003.0,22/08/2024,450.0,103.0
1017.0,5001.0,3002.0,23/08/2024,500.0,102.0
1018.0,5004.0,3008.0,24/09/2024,1000.0,103.0
1019.0,5005.0,3004.0,25/09/2024,350.0,101.0
1020.0,5003.0,3009.0,26/10/2024,400.0,105.0
1021.0,5002.0,3001.0,27/10/2024,250.0,101.0
1022.0,5007.0,3006.0,28/11/2024,550.0,104.0
1023.0,5001.0,3009.0,29/11/2024,900.0,101.0
1024.0,5003.0,3003.0,30/12/2024,450.0,103.0
1025.0,5006.0,3005.0,31/12/2024,800.0,101.0
1026.0,5007.0,3006.0,1/01/2025,550.0,104.0
1027.0,5004.0,3008.0,2/02/2025,1000.0,103.0
1028.0,5001.0,3009.0,3/02/2025,900.0,101.0
1029.0,5002.0,3001.0,4/03/2025,250.0,101.0
1030.0,5005.0,3004.0,5/03/2025,350.0,101.0
1032.0,5009.0,3004.0,8/04/2024,600.0,107.0
1033.0,5005.0,3003.0,15/04/2024,200.0,102.0
1034.0,5002.0,3005.0,22/04/2024,1000.0,107.0
1035.0,5005.0,3006.0,29/04/2024,300.0,104.0
1036.0,5003.0,3003.0,6/05/2024,500.0,104.0
1037.0,5010.0,3009.0,13/05/2024,550.0,102.0
1038.0,5009.0,3008.0,20/05/2024,550.0,107.0
1039.0,5004.0,3006.0,27/05/2024,500.0,101.0
1040.0,5011.0,3009.0,3/06/2024,400.0,103.0
1041.0,5009.0,3003.0,10/06/2024,,101.0
1042.0,5005.0,3002.0,17/06/2024,300.0,101.0
1043.0,5009.0,3004.0,24/06/2024,900.0,102.0
1044.0,5011.0,3005.0,1/07/2024,100.0,106.0
